Company Name,Company Description,Company Area,Company URL,Company Address,Company Telephone,Company Email,Company House Number,Company House URL,Include?
Weatherill Property Group,Strong presence in Hove with a focus on family homes and mid-to-high value properties. Differentiates through consistent deal flow in residential sales.,Real Estate,https://www.wpgsussex.co.uk/,"2 Queens Parade, Hove, BN3 8JG",01273 322766,sales@wpgsussex.co.uk,11397540,THE WEATHERILL PROPERTY GROUP LTD overview - Find and update company information,
Pearson Keehan,Independent agency with a reputation for high-touch service and strong negotiation outcomes. Often works with repeat clients and referrals.,Real Estate,https://pearsonkeehan.com/,"95 Portland Road, Hove, BN3 5DP",01273 206999,sales@pearsonkeehan.com / lettings@pearsonkeehan.com,13189050,PEARSON KEEHAN LTD overview - Find and update company information,
Hamlyn Smith,Focused on premium homes in Brighton & Hove with a curated property portfolio. Emphasises quality over quantity in listings.,Real Estate,http://www.hamlynsmith.co.uk/,"50 Goldstone Villas, Hove, BN3 3RS",01273 762222,toby@hamlynsmith.co.uk,13163237,HAMLYN SMITH LTD overview - Find and update company information,
Smith & Co Sussex,Hybrid-style independent combining traditional agency with modern digital marketing. Known for efficiency and competitive pricing.,Real Estate,http://www.smithandcosussex.co.uk/,"113 Portland Road, Hove, BN3 5DP",01273 234840,info@smithandcosussex.co.uk,16264838,SMITH AND CO (SUSSEX) LTD overview - Find and update company information,
Nicholas James Property,"Multi-branch independent with strong coverage across Brighton and Worthing. Offers balanced expertise across sales, lettings, and property management.",Real Estate,https://nicholasjamesproperty.co.uk/,"8 The Drive, Hove, BN3 3JA",01273 917915,hello@nicholasjamesproperty.co.uk,14770162,NICHOLAS JAMES PROPERTY LTD overview - Find and update company information,
John Hoole,Founder-led agency with a strong personal brand in the local market. Differentiates through direct involvement and client trust.,Real Estate,https://www.johnhoole.co.uk/,"214 Dyke Road, Brighton, BN1 5AA",01273 555115,info@johnhoole.co.uk,,,
Phillips & Still,Boutique lettings-focused agency with a strong reputation among landlords. Known for hands-on property management and tenant quality.,Real Estate,http://www.phillipsandstill.co.uk/,"112 Western Road, Brighton, BN1 2AB",01273 771111,chris@phillipsandstill.co.uk,8757928,PHILLIPS AND STILL LIMITED overview - Find and update company information,
Justin Lloyd,Long-established Brighton agent with strong recognition among local buyers. Combines traditional estate agency with a wide local network.,Real Estate,https://www.justinlloyd.co.uk/,"118 St James’s Street, Brighton, BN2 1TH",01273 692424,info@justinlloyd.co.uk,,,
Spencer & Leigh,Independent firm with a strong focus on family housing markets. Known for consistent pipeline of suburban residential properties.,Real Estate,https://www.spencerandleigh.co.uk/,"108 Old London Road, Patcham, Brighton, BN1 8YA",01273 565566,info@spencerandleigh.co.uk,4794913,SPENCER & LEIGH LIMITED overview - Find and update company information,
Mishon Mackay,One of the larger independent agencies with multiple branches across Brighton & Hove. Strong market share and high transaction volumes.,Real Estate,https://www.mishonmackay.com/,"170 Church Road, Hove, BN3 2DJ",01273 778877,,6446436,https://find-and-update.company-information.service.gov.uk/company/06446436,
Brand Vaughan,Premium agency with a strong emphasis on branding and digital marketing. Particularly active in higher-end and lifestyle-driven properties.,Real Estate,https://www.brandvaughan.co.uk/,"117–118 Western Road, Hove, BN3 1DB",01273 221102,HoveSales@brandvaughan.co.uk,5976765,BRAND VAUGHAN LIMITED overview - Find and update company information,
Jack Smith,Small independent known for personalised service and local expertise. Focuses on building trust within a niche client base.,Real Estate,https://www.jacksmithestateagents.co.uk/,"92C Portland Road, Hove, BN3 5DN",01273 234840,,11674373,JACK SMITH ESTATE AGENTS LTD overview - Find and update company information,
Sawyer & Co,Long-standing independent with a balanced mix of sales and lettings. Strong reputation for reliability and local market insight.,Real Estate,https://www.sawyerandco.co.uk/,"211 Preston Road, Brighton, BN1 6NA",01273 778844,brighton@sawyerandco.co.uk / enquiries@sawyerandco.co.uk,4235622,SAWYER & CO SALES & LETTINGS LIMITED overview - Find and update company information,
Harringtons Lettings,Specialist lettings agency focusing on rental properties and landlords. Differentiates through operational efficiency and tenant management.,Real Estate,https://www.harringtonslettings.co.uk/,"169 Hangleton Way, Hangleton, BN3 8EY",01273 724000,viewings@harringtonslettings.co.uk / admin@harringtonslettings.co.uk,10220170,HARRINGTONS CORPORATE LETTINGS LIMITED overview - Find and update company information,
Coapt,Niche agency focused on student and HMO markets. Strong in high-yield rental segments and investor-focused properties.,Real Estate,https://www.coapt.co.uk/,"159–161 Lewes Road, Brighton, BN2 3LF",01273 645797,belong@coapt.co.uk / enquiries@coapt.co.uk,5115165,COAPT LIMITED overview - Find and update company information,
Eightfold Property,"Modern independent combining sales and lettings with strong digital presence. Appeals to younger, tech-savvy buyers and landlords.",Real Estate,https://www.eightfoldproperty.co.uk/,"86 Gloucester Road, Brighton, BN1 4AP",01273 672999,property@eightfold.agency,9998988,EIGHTFOLD PROPERTY LIMITED overview - Find and update company information,
Simon Miller & Company,Regional independent with multiple offices across Kent. Known for strong local coverage and consistent deal flow.,Real Estate,https://simonmiller.co.uk/,"11 Colman Parade, Colman House, King Street, Maidstone, ME14 1DJ",01622 663851,headoffice@simonmiller.co.uk,6992115,simon miller & company limited,
Miles & Barr,One of the largest independent agencies in Kent with extensive branch network. High transaction volume across both coastal and inland markets.,Real Estate,https://www.milesandbarr.co.uk/,"1 The Links, Herne Bay, Kent, CT6 7GQ",01304 626444,,8232286,MILES & BARR (FAVERSHAM) LIMITED overview - Find and update company information,
Kent Estate Agencies,Established agency with deep roots in Canterbury and surrounding areas. Focuses on local expertise and long-term client relationships.,Real Estate,https://www.kent-estate-agencies.co.uk/,"94–100 Tankerton Road, Whitstable, Kent, CT5 2AH",01227 274220,info@kea.org.uk / caroline@kea.org.uk,3711539,KENT ESTATE AGENCIES LIMITED overview - Find and update company information,
Sandersons UK,Boutique independent focusing on mid-to-high value residential properties. Emphasises tailored marketing and client service.,Real Estate,https://www.sandersonsuk.com/,"Bizspace Office 102, Knightrider Street, Maidstone, ME15 6LP",01622 686686,maidstone@sandersonsuk.com,7532433,SANDERSONS ASSOCIATES PROPERTY RENTALS LIMITED overview - Find and update company information,
Foundation Estate Agents,Modern agency with strong branding and marketing approach. Focuses on delivering a streamlined and transparent customer experience.,Real Estate,https://foundationestateagents.co.uk/,"Suite 1, 2nd Floor, 3 Jubilee Way, Faversham, ME13 8GD",01227 752617,gatehouse@foundationproperty.co.uk,5553803,FOUNDATIONS INDEPENDENT ESTATE AGENTS LIMITED overview - Find and update company information,
Freeman & Gray,Independent estate agent with a focus on personalised service. Operates with a lean model and strong local engagement.,Real Estate,https://www.freemanandgray.co.uk/,"Office 15–16 Fort Bridgewood, Rochester, ME1 3DQ",01634 310339,info@freemanandgray.com,8690425,BARLEY SMITH & FREEMAN LTD overview - Find and update company information,
Sibley Pares,Specialist in both residential and commercial property. Differentiates through broader service offering beyond standard estate agency.,Real Estate,https://www.sibleypares.co.uk/,"1 Ashford Road, Maidstone, ME14 5BJ",01622 673086,property@sibleypares.co.uk,6306194,SIBLEY PARES (KENT) LTD overview - Find and update company information,
Page & Wells,Long-established Maidstone agent with strong local reputation. Known for consistent delivery and experienced team.,Real Estate,https://www.page-wells.co.uk/,"52–54 King Street, Maidstone, ME14 1DB",01622 756703,sales@page-wells.co.uk,3520028,PAGE & WELLS LIMITED overview - Find and update company information,
Seekers,Independent agency with focus on lettings and property management. Strong presence in Canterbury rental market.,Real Estate,https://www.seekersproperty.co.uk/,"101 Percy Street, Newcastle upon Tyne, NE1 7RY — note: not Kent/Brighton local",0191 2431000,amy@seekersproperty.co.uk,15786138,SEEKERS ESTATES LTD overview - Find and update company information,
Woodward & Bishopp,Regional independent covering coastal Kent. Known for steady deal flow in residential sales.,Real Estate,https://www.woodwardandbishopp.co.uk/,"112 High Street, Whitstable, CT5 1AZ",01227 538853,whitstable@woodwardandbishopp.co.uk,13986568,WOODWARD & BISHOPP LTD overview - Find and update company information,
Caxtons,Specialist agency focused on block and estate management. Strong niche in leasehold and managed properties.,Real Estate,https://www.caxtons.com/,"James Pilcher House, 49/50 Windmill Street, Gravesend, DA12 1BG",01474 537733,,2845831,CAXTONS RESIDENTIAL LIMITED overview - Find and update company information,
Quealy & Co,Independent with strong local reputation in Sittingbourne. Focuses on residential sales with consistent pipeline.,Real Estate,https://www.quealy.co.uk/,"The Oast House, Wrens Road, Borden, Sittingbourne, ME9 8JE",01795 429836,hello@quealy.co.uk,13969341,QUEALY & CO HOLDINGS LIMITED overview - Find and update company information,
Cooke & Co,Long-standing Ramsgate-based agency. Strong local knowledge and steady transactional activity.,Real Estate,https://www.cookeandco.co.uk/,"78 Queen Street, Ramsgate, CT11 9ER",01843 851322,ramsgate@cookeandco.com,11378965,COOKE&CO LTD overview - Find and update company information,
Regal Estates,Canterbury-based independent with focus on student and residential lettings. Strong presence in rental-heavy areas.,Real Estate,https://www.regal-estates.co.uk/,"57 Castle Street, Canterbury, CT1 2PY",01227 767200,sandwichsales@regal-estates.co.uk,12952182,REGAL ESTATES LTD overview - Find and update company information,
Wards of Kent,Large regional network with strong brand recognition. Operates at scale while maintaining local branch presence.,Real Estate,https://www.wardsofkent.co.uk/,"7 Market Street, Dartford, DA1 1EB",0800 0932294,,13117726,WARDS OF ESSEX PROPERTY MANAGEMENT LTD overview - Find and update company information,
Oakwood Homes,Independent agency covering Thanet and East Kent. Known for consistent residential sales activity.,Real Estate,https://www.oakwoodhomes.biz/,"Stockwell House, Cecil Square, Margate, CT9 1BD",01843 221133,,5859588,OAKWOOD HOMES LIMITED overview - Find and update company information,
Invicta Estate Agents,"Modern independent with a focus on digital-first approach. Appeals to clients looking for efficient, streamlined transactions.",Real Estate,https://www.invictaestateagents.co.uk/,"1 Queens Parade, East Street, Faversham, ME13 8AQ",01795 591080,info@invictas.co.uk,6522726,INVICTA ESTATE AGENTS LIMITED overview - Find and update company information,
Robinson Michael & Jackson,Well-established Kent agency with multiple branches. Strong coverage and consistent deal flow across regions.,Real Estate,https://www.robinson-jackson.com/,"15a King Street, Maidstone, ME14 1BA",01622 476666,,5139777,ROBINSON MICHAEL & JACKSON HOLDINGS LIMITED overview - Find and update company information,
Brighton Toy and Model Museum,Toy museum,Travel & Tourism,www.brightontoymuseum.co.uk,"52-55 Trafalgar Street, Brighton,
Sussex, BN1 4EB ",01273 749494,info@brightontoymuseum.co.uk,02564153,BRIGHTON TOY AND MODEL MUSEUM overview - Find and update company information,
VOLK'S ELECTRIC RAILWAY ASSOCIATION,Oldest working electric railway in the world - runs along part of Brighton seafront,Travel & Tourism,http://volkselectricrailway.co.uk/,"Phil Hamerton , 18 Cissbury Way, Shoreham by Sea, West Sussex, BN43 5FW",01273 292 718,millssilvester@aol.com,CE020017,https://find-and-update.company-information.service.gov.uk/company/CE020017,
Pier Pressure,Escape rooms and interactive games,Travel & Tourism,https://pierpressure.co.uk/faq,"12 Trafalgar Lane
Brighton BN1 4EH",01273 220388,info@pierpressure.co.uk,15817978,https://find-and-update.company-information.service.gov.uk/company/15817978,
Patterns Brighton,Event venue in Brighton owned by Mothership Bars,Travel & Tourism,www.patternsbrighton.com,10 Marine Parade Brighton BN2 1TL,01273 894777,manager@patternsbrighton.com,14968346,https://find-and-update.company-information.service.gov.uk/company/14968346,
